name, tempo
4218466,115
4301518,173
3116297,140
1982430,126
365981,140
4235798,140
4157075,140
4162259,133
4149743,87.5
3902915,128.0
1889739,127.5
4226434,140.0
4264210,82
1728723,140
3596904,130
5377710,127.5
2088277,140.0
4411925,175
3879813,140
3013772,165
2706792,172.0
4386702,126
4017781,126
3792954,95.9
3134837,138
4407745,126
4558106,128
2741734,180
3655121,140
3711752,133
4029970,143.55
4416506,125
5135326,130
4216184,140
3281282,160
4947281,136
5143186,138
3873406,128
3752371,140
4136911,76
1885798,101
1889844,140
3665864,140
4163586,140
3741346,126
3439626,174
3875836,172.5
4767260,170
5081990,170
4381717,140
1921248,150
4365752,87
3865706,140
4005630,150
3605780,140
4514851,148
2013128,126
1791554,126
3226172,69
3241615,140
3169408,113.0
3409480,124
2751688,120
4735758,140
3871968,172
3511308,150
4106593,140
4029289,87.5
3091814,120
3368054,127.0
4014747,125
5102537,123
4509910,140
4497852,99
4207348,128
4071447,140
4045981,127
4565270,125
3190021,180
2745205,127
3558940,139
4875475,120
4403315,140
1514866,140
2022116,148
4193623,92
4457771,140
4845088,180.0
3343760,175
4604737,127
3907042,170
3658743,72
2725361,141
4823611,127
2088281,140
1851619,99
368533,140.0
1234750,140
2725284,175
3783220,150
1735621,95.25
3443201,136
2442269,140
1380256,126
1198571,120
4609093,140
3801596,140
4418582,172
989704,174
310291,140
4694833,143.0
3267829,140
4566667,130
4288893,170
3512227,140
3405537,126
2676506,126
4459187,130
4480118,128
4153394,80
691688,93
5294335,126
4773857,140
2061919,140
5162042,170
3475669,140
3173482,165
4163588,90
1560729,123
3612407,140.0
4323506,140
4166222,122
1905592,118
5214943,74
4358231,132
3629920,175
4469489,173
3873575,175
3724279,140
2677224,126
3091433,140
4955053,140
3754674,140
5431709,174
5258365,148
3213176,174
3101046,174
3475672,86
3062661,85
4117487,127.0
1896782,140
4397469,175
3471827,174
4427618,122.0
4860099,140
3230949,140
3520036,120
1918704,140
2039114,120
1424458,126.0
4162511,124
2704868,64
1825982,123
4233696,120
3863423,140
3962200,120
4017892,124
220883,140
3109241,140
4101447,140
3485917,140
4863146,110
2726350,128
4540818,126
4038987,140
750132,132.5
5406759,126
4678080,172
1120171,174
4483708,140
3202338,80
4816604,139.82
1943706,132
5214265,120
4653852,140
4275052,126.4
1092771,136
4265125,175
3980001,53
4093135,140
4486124,175
2083969,70
3961797,124.0
4264359,85
5237462,120
3640677,140
3208076,107
4969415,120.0
1676961,170
5118757,130
4547732,86
5157605,132.0
1084996,140
1479462,90
4420924,140
3630280,174
400259,173
3264338,138
3813277,110
3128701,140
4399289,175
4493439,140
3247762,170
1068430,170
4192452,174
2422602,128
4014749,125
906681,171.726
3391054,199
4714481,110.0
3428474,120
1418652,140
2759853,128.0
4409752,174
3574815,140
4585539,140
3853477,140
3482510,85
4313859,87
5363251,140
710469,156
3482733,173
4145229,140
4469780,147
4067151,140
4093555,92
3370500,85
4416962,132
4495270,80
4442121,126
4172572,87
3482508,174
3519546,83
4596215,120
4671406,126
4508138,126
3349486,140
2734862,180
4297277,140
4633603,140
3678548,128
3703893,125.0
3807114,125
587794,140
986931,140
3313129,170
3660450,140
5315510,140
4017909,112
3165747,140
3818797,132
5171396,174
5073839,174
4749611,128
3650152,123.0
3577628,140
1556416,140
1114156,86
4035020,123
4086561,174
1765409,72
4468729,80
3493047,70
3220340,140
1743969,130
4140702,175
3261686,128
4610426,140
3336604,170
4671443,148
3733281,70
210560,79
3534448,140
4163572,150
1234668,175
5076753,140
3368053,128.0
1240669,171
4072499,174
3151015,174
3460093,170
3509304,175
3649527,90
691694,90
2725286,175
3303241,132
4166612,124
907836,175
1905591,180
5137158,140
3564559,170
4567979,148
3809763,148
3218565,200
3696445,147
2432724,126
5314439,148
3961040,126
1171800,140
4300617,128
672063,175
3387888,174
3412362,130
1317507,174
3656301,174
4047428,128
4937390,140
3486206,175
4473065,124
4921810,140
3621649,176
1874244,70
3853293,140
3886051,140
2702022,144
3863498,75
3040535,140
4018082,122
4471292,175
4800275,140
3041381,119
122772,140
4186191,126
1974485,170
2734649,174
861484,174
3333492,120
5335389,140
4152109,124
3194652,177.7
1030011,126
1950701,174
3158774,166
4161667,105
4231951,140
3317417,96
3312045,170
4325441,128
4827285,172
1183908,140
3480108,130
4315749,130
4004314,80
4284345,140
4861484,172
4017611,73
1747518,140
1327052,175
3730279,126
4474027,174
4593850,124
3964688,124
3181214,140
4625875,172
925895,140
2083393,115
1817444,172
3920460,180
3883902,126
4416336,185
4107957,93
3535112,128.0
3291017,140
4300619,132
4486412,140
2703359,174
3289180,80.0
3190084,174
3835017,175
536656,173
1469706,130
4346730,173
3692859,126
5024644,140
3368055,127.0
5039329,87
4624663,165
5261461,174
426992,83.5
3088145,63
3661855,170
4896659,110
3958395,135
3218804,174
5068771,174
907837,172
4006551,144
4677606,144
5078640,171
4773948,140
4279669,82
672064,175
5160584,128.0
3721308,140
3128068,128
3766995,95
1839656,140
5347155,175
4559522,134
3877057,160
3058700,70
3089629,86.5
3889689,128.0
3706845,70
3790342,175
4710576,175
3535520,100
3377892,174
1973680,80
5117279,120
3883083,126
3682931,140
4149811,140
4711578,175
4366506,99
1562235,124
3433621,85
4543103,128
94350,151
278893,145
3742708,148
4163571,160
4018085,122
3230477,101
4567978,148
906680,169.730
1855660,174
1816200,123
4044590,100
3577631,140
4101363,140.0
5213896,175
5345058,148
4403519,126
3435022,128
1174239,172
5202182,140
3928924,126
4214761,123
5079918,139.5
2726355,128.0
5051606,128
4826957,140
4446908,170
4696505,160
5214755,170
3642438,172
3453642,175
3383105,85
4993934,140
2992360,123
5248391,140
4899365,170
3593643,172
1753073,140
3886124,87
5137153,150
4283622,128
4549757,174
4191591,138
4850346,120
4017608,101
4532060,85
3209061,174
3023605,145
5137157,140
4004668,128
3970827,180
1968659,136
942357,170
3829043,85
4517258,82
5204781,124
1626348,140
5070846,140
4723905,140
2725358,140
4226227,140
5356489,140
4735587,140
3981797,128
3419452,140
3188462,115.0
4163587,126
4237913,125
1698047,174
4823439,140
4331667,170
4666231,174
3269490,140
4020698,140
4951739,170
333579,140
2071203,134
3914630,172
4360488,174
2048806,140
4460536,140
3016341,128
3069960,140.0
3638589,170
4474029,174
1118326,171.419
4377106,129
3746398,170
3097674,140.0
3484119,122
4140514,147
3460094,170
3725208,172
3398611,123
344470,120
3983645,110
4033240,145
3819089,173
4093057,65
2673896,129.5
4012083,167
3651620,135
4283854,175
547692,170
956606,125
3336126,128
1329955,126
3130573,175
4623143,147
4810810,136
4031300,123
4611640,125
1842615,148
3209004,129
3983646,140
4426890,105
1234745,140
4609944,58
3649559,175
3565815,128
4018083,123
4044591,158
3414746,85.5
3824612,126
1240672,174
5076821,172
4151958,140
3167057,85
4480454,86
1960598,139
3344148,110
5195826,87
4936740,140
3875632,140
4667626,146
3787878,132
4884993,87
2720752,111
5302339,165
4397324,174
3125254,140
3211234,140
1177875,148
4471702,87.5
3079792,75
4332592,133.7
4304445,190.0
4693039,140
4077896,136.0
1548088,137
4018247,95
2757093,80
1461087,175
4772658,124
1234669,175
172384,84
4955051,140
4743012,125
4043892,175
4162405,128.0
4512512,128
3244386,140
3269670,140
1955621,140
3743957,85
4404346,190
4226166,178
1569136,170.5
4703149,110
4489017,174
4032006,145
3828895,148
3226180,180
4120277,128
4122833,140
3013673,157
4398117,178
4827287,148
3261883,140
633082,126
1982431,126
4586220,174
3618176,173
4631727,148.0
4960424,85
3304445,140
4826952,140
4693198,126
4984238,115
4162274,120
3492833,140
4360483,174
4018084,122
3189712,170
4353566,126
3298908,63.5
3630279,173
2726353,128
4419049,140.0
3892740,128
4459005,172
4494659,127
5089294,140
3059880,128
4800274,140
825292,140.2
3789981,80
1623443,140
5355157,83
4853692,126
2725352,141
3674961,140
4475855,140
3297802,126
4416888,89
3226171,160
28952,137.6
3372883,128
1929611,173
3403794,190
3414605,125
2676246,140
3173803,186
1560139,140
5268098,126
4091609,80
4661735,80
3566606,148
3467867,172
906760,141.68
3124242,130
3530058,135.23
4650113,118
4372309,125
5137154,70
3041383,176
3942754,148
